pid,ProductId,Post_Review,Platform,Rating,Date,Helpful,Label
870,B006SQBRMA,"High quality product, very appreciated gift",Amazon,5,29-11-20,,1
871,B0059WXJKM,"Beautiful super cuddly, easy to wash and pamper by the child, without percoli",Facebook,5,18-10-20,,1
876,B001EPPI84,Beautiful even if arrived with low batteries,Twitter,4,16-12-22,,1
885,B001EPPI84,As per description,Amazon,5,11-12-22,,1
912,B004X2KR36,"Beautiful, the baby sleeps quietly... recommended...",Instagram,5,20-11-22,,1
913,B004X2KR36,Beautiful is cm I expected and arrived on time,Flipcart,5,09-01-20,,1
945,B004X2KR36,A great ally for the night,Amazon,5,15-08-20,,1
949,B005R8JE8O,"Nice, nice, soft.",Flipcart,4,31-12-22,,1
955,B0066DMI6Y,The product is absolutely valid!,Amazon,5,05-01-20,,1
990,B0066DMI6Y,Very nice and useful toy,Facebook,5,15-01-20,,1
1017,B003ZFRKGO,I expected something better given the cost....,Twitter,3,27-02-20,,1
1090,B0019CW0HE,My baby loves her...,Instagram,4,10-01-20,,0
1135,B0019CW0HE,magnificent object,Flipcart,5,05-07-20,,1
1169,B0019CW0HE,good,Amazon,5,14-08-20,,1
1316,B0019CW0HE,"It works! And it's the most important thing! It helps a lot both to relax, that to accompany the children towards the bed, but it works well also as anti-stress, for those moments when the puppets tend to be more ""soundy"" or they feel neglected. Excellent pet this otter! (even if many will exchange it for a bear...), it turns out to be much more useful than expected. If you don't find it disturbing! Actually the breath, with movement, colors and sounds, is very realistic. In fact you can set noises, relaxing sounds (also human like the heartbeat) and music. You can match us a soft light on the belly, and see it move following the breath. Everything is customizable and can be activated by the battery pack, which has a rather tenacious button, to prevent it from starting inadvertently. The integrated timer is about 30 minutes! Shuttering the battery pack, you can also wash in the washing machine! Also, I would have a little flaw for the rest, I would have been finely padded to the rest of the rest of the material!",Flipcart,5,13-11-22,6,1
1320,B0019CW0HE,"This otter has a very good look and super tender; it is made of polyester and is really soft. It is beige with the inner part of the ears and the plants of the feet in blue fabric. Even the inside of the codina is made of fabric with a lovely drawing of small fishes. The eyes are closed and the arms are sewn to the chest, but they are absolutely not attached to the body, so you can fit a small hand. The dimensions are 25 x 15,5 x 11 cm. and weighs almost half a kilo, because inside, closed by a velcro, it hosts a battery, gigantic, which allows you to adjust the volume and choose which sound you want to listen to your baby through keys with very clear designs. In fact, you can choose between soft music or some relaxing sounds (white noises, sounds of the womb, breath during sleep or heartbeat).",Amazon,5,12-10-22,4,1
1322,B0019CW0HE,"I took this delicious otter for my grandson, to accompany him in his nap. It is a really intelligent game-help that I wanted to have available when my children were young, because it combines the usual combination of sounds and soft lights, also the movement of the tummy that swells and deflates, giving the impression of breathing together with the child. How many parents have noticed the calming effect of holding the children against their chest to calm them with the perception of their breath? Well, the otter does just that. The baby leans on this soft puppet, wanting to put a hand on us, perceives softness, warmth of the hair, movement of the breath and in addition the music chosen (from true melodies to more neutral sounds). Just regular first volume and sounds on the back, then the otter keeps company for thirty minutes. Very useful object and splendid gift idea.",Facebook,5,16-10-22,3,1
1323,B0019CW0HE,"A soft plush that you want to tighten right away! It represents a beige otter, with ears and feet of a light green and the package reproduces a baby cot very cute. You turn on pressing the tummy, it works with batteries (4 batteries AA 1.5V already included in the package). In it we find the box battery holder, where you can choose one of the four functions of the game: music or relaxing sounds, you can distinguish the sounds of the maternal womb and also sounds of nature that help calm babies. You can feel the breath during sleep and combine the function that simulates a natural breath with the movement of the belly that goes up and down. You can also choose to associate a soft light (which would be the area of the button on the belly). In short, you can customize it as you want. And very nice thing that pushes me to give full of the votes, once removed the box of batteries, you can safely wash in a 30 °. Excellent solution!",Twitter,5,17-10-22,2,1
1331,B0019CW0HE,"This beautiful otter of Fisher-Price is a plush made especially for children, especially for newborns to help them sleep better, to calm them when they cry and not make them feel alone. The otter was made with a device inserted inside the body of the plush, a mechanism that can be removed by removing it from the back of the otter thanks to a good opening with the velcro, in this way it is also possible to wash the plush in the washing machine. The device has six buttons: - The first two serve to increase or decrease the volume of the music and sounds reproduced by the otter; - The third reproduces the music of some lullaby in rotation, and turns off automatically after thirty minutes; - The fourth reproduces the breath while sleeping, the sound of the wind, the heartbeat and the heartbeat when it is active in the womb, to switch from one type of sound to the other, it is enough to press the button: the first time will stop the sound and the second time will be activated by the sound; the fifth one can lift the breath to the next.",Instagram,5,10-11-22,1,1
1343,B0019CW0HE,"After a couple of months of tight test (I have availed myself of the help of Sofia, child of a few months of my colleague). I try in my reviews to be always impartial, but with products of this type ( turned to babies/children) I try to be even more picky precisely for the mission they have. We start immediately saying that the brand in this sense is a certainty, although many do not know that Fisher Price is totally part of the Mattel group since 1993 and that within a few hanni the company that controls it closed all the factories in the USA and transferred all the production in CINA. This small niche just to remind you that despite the very high standards and quality and maniac attention to details as well as the materials of the first order we are talking about the most beautiful products made in CHINA. Having said this, this small (to want to look at it well then much) pet is really addictive..I would say that all the soft plus is a soft feature of the very soft packing mechanism and picking it up with the power of the inside chamber, which I am able to clean up, but it creates an addiction!",Flipcart,5,20-03-20,,1
1345,B0019CW0HE,"We took this sweet otter for our coming puppet, to put it in the cradle with him. But as we got home our 4 year old fell in love with it literally!The otter is soft and cute, then by pressing the belly you can start the melodies, the white noise, the beat and the breath.It is possible to select the volume and the sounds that you want to make to emit by pressing the button in the back that are under the pellicciotto.I have to say that we loved everyone, it is a real love!",Amazon,5,19-10-22,1,1
1346,B0019CW0HE,"As always the Fisher Price has some really nice ideas and they are always well made the toys branded by them.This small soft and tender otter accompanies or naps of my daughter, with delicate music or with the noise of the cadiac beat, all selectable from a small panel controls placed behind the doll, inside a tear, that protects him from the laborful hands of the children.Once selected what can please the children, you can turn on and off through a big button hidden on the belly of the otter, the thing devcero beautiful is the simulation of the breath and beautiful movement of the belly, in addition light up in a soft and delicate way.So cheers my daughter's naps that listening and watching him sleeps blessed, a good help.",Flipcart,4,25-10-22,,1
1347,B0019CW0HE,"This otter is an excellent plush suitable for newborns and small children. The toy has the size of 25 x 15,5 x 11cm for a weight of 488g, of which 380 grams for the battery only. Inside it has a battery (to be fed with 4 AA batteries) by which you can select the type of sound to start at the pressure and adjust the volume level. The product is made of polyester with a beige and blue color for the plant of the feet and the inner area of the ear; the tail is blue with some bright fishes. The consistency of the otter is very soft and delicate. When you will start the music relaxing and calming, the game will realistically imitate human breathing with movements in the belly to up and down with a pleasant lighting effect. The backs have a pre-defined duration of 30 minutes, it is possible to finish the reproduction, touching the button on the belly. The sounds that the otters appear to be pleasant and relaxing for the newborns that from the trials are also in the best of the days, during its many episodes of crying.",Amazon,5,14-12-22,,1
1348,B0019CW0HE,"Among the tenderest animals of the creation the otters have definitely gained a place in the top ten... who doesn't love these wonderful creatures? Fisher Price has really made center with this otter-shaped plush, represented in the most famous and sweet of his poses, intent to sleep blissfully on the back, with his paws on the chest. Very soft and cared for in every detail, we speak of a toy designed for babies, therefore I try dangerous parts. But the plus of this toy is that pressing the tummy lights up and the otter simulates the movement of the breathing, emitting sounds and music. It can be created the ideal combination for each child, selecting the type of sound/music, the furate and the volume. Inside there is the \cuore of the toy, or the feeding (it works with 4 batteries included) and the electronic unit that allows to make movements and sounds. These elements can be removed thus allowing to wash the baby's birthplace in the bedroom. A cure for the design is already reproduced in the small.",Facebook,5,11-12-22,,1
1350,B0019CW0HE,"Finally, a puppet representing a different animal! Not the usual bears that, although cuddly, are always and anyway monotonous, a puppet. This new fisher price line has finally reproduced other types of animals because at the bottom there are not only bears, cats or dogs. In this case it is an otter. A sweet otter that will accompany your children during the nann, but not only. Thought obviously for the little ones does not exhaust but its works when the tannins grow. I tell you immediately that if I could give more than 5 stars to this puppet I would have given them, and now I tell us why: - the puppet is done well, adequate dimensions neither too big nor too small.. perfect for. the nannanna. Morbid even if it has a retro part of the electronics. I am delighted with the aesthetic that in the sounds that are not at all invadable. - does not simply have the function of the night light (which is also soft and does not disturbing) the power of the Lon. It is also funny to be able to breathed through the breathing. It is also in the same way of the music, and in the music, and in the music that it is not able to be able to be able to be able to be able to be able to be able to be able to be able to be used in the movement of the movement of the sounds, and is not to be able to use it is not at all of the sounds are not at all things that it is not intru for anything invad. - it is not invad. - it is not at all - it is not simply the function of the function of night light (which is not too much invad. It is not at all the function of the function of night (that it is not at all too much intru. It is not at all too much, it is not at all too is not at all too small. It is not at all the function of the night (which is not at all the function of the function of the other, and not at all the other, but is not at all the function of the function of the function of the other, it is not at all the other, it is not at all the other, it is not at all the other, it is not at all the other, it is not at all",Twitter,5,08-11-22,,1
1352,B0019CW0HE,"One of the most beautiful and tender puppets we have ever seen, really keeps the little one company, even during the night. The realization is very good, very soft and is rich in many functions including, the one that hit us most, is the simulation of the breath, really very realistic! In addition to the breath, this small otter, about 26 cm high, can simulate also the heartbeat, sounds of the womb, various sounds and lights, all selectable and adjustable for volume and intensity through an electronic device, powered by batteries (already included), which is inside the toy. It has a really relaxing and calming power, suitable for babies up to about 4/5 years of age, and what important, removing the electronic part, it is possible to wash the small otter in the washing machine! Currently it is sold at little more than 36 euro (October 2022) a price in my opinion more than reasonable to the quality and functionality of this toy of Fisher-Price, a purchase that I recommend with closed eyes!",Instagram,5,16-10-22,,1
1353,B0019CW0HE,"Excellent product arrived at the Merc house! It is a wonderful otter of Fisher-Price well made and soft. It has no external seams for the safety of our puppy, and has the tummy that moves and that lights up. crushing the tummy in fact will emit a few seconds of relaxing music for the child, this is more a function that will use 'the baby, because' if we go to open it from the back, we have many combinations to make. The first is the adjustment of the sound level, The second is the choice of the ringtone, being of so many white noises that reconcile the sleep, including the heartbeat. The third is the on/off of the light on the tummy while the last function provides only the light without audio. The back is velcro and does not have buttons or seams, and the batteries inserted are protected by a screw drawer, just for the maximum safety for the child.",Flipcart,5,28-10-22,,1
1356,B0019CW0HE,"Puppet in the shape of an otter with sound and light effects. THE LONTRA rests supine in its cardboard bed, which is also the original box. Just press the tummy to see the puppet light up and emit a music, in addition to seeing the tummy swelling and deflating as if the otter were really breathing; in the back we find a large remote control that determines the functions both visual and sound. I can wash it in the washing machine (without the electric part). MY CONVINCE? Yes, it is a great gift idea for our children, who relax with the sweet breath of the puppet. Breath is the thing that has most affected me, in fact it seems to be real; an incredible effect. Also the puppet is very soft is well made, so even without using these effects remains a very tender object. If you want to save the box, we can use it as a cot for the small otter. PRO: excellent seams and finishes, visual effects and sounds. CONTACT: to date.",Amazon,5,21-10-22,,1
1357,B004K2IHUO,"Very soft and very cute this plush has a serene and reassuring look perfect to keep you company and accompany the little ones towards sleep. It is powered by 4 fleece stylus, included in the package, that you go to insert in the big command placed inside the otter. One thing I very welcome is the possibility to wash the plush in the washing machine, having the possibility to remove easily and quickly the electric part placed inside. Through the internal command you can set all the functions of the plush, from the type of sound emitted (noise of nature, white noise, breath, music melodies or heartbeat), the volume of the sound effects, the activation of the movement and lighting of the tummy. Once set to activate the plush will press the tummy and, for about 30 minutes, will continue with the program set. Unfortunately, there is a detector of tears that would make it really perfect, making it automatically activate in case of night awakening. The plush is still very nice and the combination of the many sounds make the most suitable!",Flipcart,4,12-11-22,,1
1358,B004K2IHUO,"PRO aspects of this plush for newborns: - Musical plush, but also able to reproduce the movement of breathing - Customizable: music, sounds - Various gaming experiences, sensory and not - Washable in washing machine Negative: - Little padding - High price above 40€ The 4 batteries included are an aspect not a little, but the big controller placed inside the plush is in my opinion too exposed, being there little padding you feel too hard plastic. Of course we then go to feel strongly the product, even for a matter of safety, before giving them to a newborn or a small child we must understand if it can hurt or not, risk that it is excessive to say exist, but more padded would have been better.",Amazon,4,30-11-22,,1
1359,B004K2IHUO,"I chose this game signed Fisher-Price, for my 1 year old son for the time of nap and nap. He liked it a lot and often embraces him even just for game. He likes to press on the tummy and see that it does up and down emitting sweet and relaxing sounds. The otter is very cute, soft hair and soft light grey color that does not cause any discomfort to the children. It produces sounds and musicettes relaxing and calming. It also produces rhythmic movements of the breath that help the child to calm down. You can listen for about 30 minutes: - white noises, - musicettes - sounds of the womb - heartbeat - and relaxing sounds Accompanied by the rhythmic movement of the bench of the Lontra. Also there is the possibility to adjust the volume of me case you want a smoother sound, the light can stay on or you can choose to turn it off. It works with 4pile format of Stylus A (R6) preferred by our own but it is definitely to be doing it already.",Flipcart,5,14-10-22,,1
1370,B004K2IHUO,"A wonderful thing! A two or even three in one! At first impact it looks like a puppet, it is soft, safe (it has no sharp part) and light. Then just insert the batteries to turn it into our son's best friend. Toy emits different varieties of sounds, including also the heartbeat (really fabulous!). The thing that amazed me the most is the fact that puppet makes the movement of ""exhale and breathe"" very realistically. Buying advice with my eyes closed!",Amazon,5,28-02-20,,1
1374,B004K2IHUO,I gave this otter to the son of my dear newborn friend and I have to say that the parents were happy while the baby will undoubtedly appreciate it in a few months when he can grab it and play autonomously.Having the reproduction of sweet sounds and soft lights is perfect to be leaning in the crib next to the child to create a comfortable environment when he is alone.It is possible to wash the plush in the washing machine by removing the electronic part.,Facebook,5,21-01-20,,1
1377,B004K2IHUO,"Really pampered this plush, soft and relaxing thanks to the possibility to reproduce delicate songs and very light vibrations that make its presence felt to the baby. It is also suitable for newborns and it is highly appreciated the possibility to work it in the washing machine removing the electric part inside. It is not very cheap but considering the fisher-price quality and the beauty of the product there is everything. Ideal also for a gift to new parents.",Twitter,5,18-11-22,,1
0,B004K2IHUO,"Little one likes it, only down side is the push button on the stomach is very easily turned off so it doesn't always keep going for very long if shes moving around a lot.Lovely soft fur just wish the hard plastic inner was a bit smaller as it makes the whole thing quite cumbersome for little hands to hold or hug.",Amazon,5,18-02-20,9,1
